TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DEN,DEN @ SAC,12/02/2023,L,240,117,49,99,49.5,6,25,24.0,13,20,65.0,8,38,46,35,9,7,11,14,-6
SAC,SAC vs. DEN,12/02/2023,W,240,123,48,99,48.5,16,34,47.1,11,15,73.3,9,38,47,33,7,5,11,14,6
NOP,CHI @ NOP,12/02/2023,L,240,118,41,82,50.0,8,25,32.0,28,35,80.0,13,26,39,20,10,1,12,17,-6
CHI,CHI vs. NOP,12/02/2023,W,240,124,48,88,54.5,17,40,42.5,11,15,73.3,12,29,41,32,6,8,13,21,6
LAL,LAL vs. HOU,12/02/2023,W,240,107,40,89,44.9,8,27,29.6,19,27,70.4,9,39,48,24,11,7,12,17,10
HOU,HOU @ LAL,12/02/2023,L,240,97,36,89,40.4,11,31,35.5,14,18,77.8,11,43,54,24,5,7,17,23,-10
BKN,BKN vs. ORL,12/02/2023,W,240,129,46,91,50.5,14,34,41.2,23,31,74.2,14,43,57,31,4,8,11,21,28
ORL,ORL @ BKN,12/02/2023,L,240,101,35,88,39.8,9,29,31.0,22,27,81.5,8,29,37,24,3,5,11,27,-28
PHI,PHI @ BOS,12/01/2023,L,240,119,43,94,45.7,16,35,45.7,17,23,73.9,15,27,42,16,16,5,16,24,-6
DEN,DEN @ PHX,12/01/2023,W,240,119,50,88,56.8,12,32,37.5,7,12,58.3,4,28,32,38,8,4,9,21,8
PHX,PHX vs. DEN,12/01/2023,L,240,111,39,84,46.4,9,27,33.3,24,26,92.3,8,35,43,22,4,9,12,17,-8
NOP,NOP vs. SAS,12/01/2023,W,240,121,42,85,49.4,10,31,32.3,27,29,93.1,10,32,42,26,8,6,12,15,15
SAS,SAS @ NOP,12/01/2023,L,240,106,38,83,45.8,16,39,41.0,14,17,82.4,8,31,39,28,5,5,20,21,-15
MEM,MEM @ DAL,12/01/2023,W,240,108,44,90,48.9,11,34,32.4,9,11,81.8,13,39,52,27,8,12,15,23,14
DAL,DAL vs. MEM,12/01/2023,L,240,94,34,92,37.0,12,39,30.8,14,21,66.7,13,29,42,27,9,5,12,13,-14
ORL,ORL vs. WAS,12/01/2023,W,240,130,46,89,51.7,12,31,38.7,26,33,78.8,10,34,44,35,6,8,15,23,5
WAS,WAS @ ORL,12/01/2023,L,240,125,45,89,50.6,13,28,46.4,22,31,71.0,8,32,40,25,8,5,14,29,-5
TOR,TOR vs. NYK,12/01/2023,L,240,106,44,100,44.0,6,32,18.8,12,17,70.6,19,29,48,32,7,6,12,19,-13
NYK,NYK @ TOR,12/01/2023,W,240,119,45,90,50.0,16,36,44.4,13,16,81.3,11,32,43,30,6,3,13,15,13
BOS,BOS vs. PHI,12/01/2023,W,240,125,39,77,50.6,16,33,48.5,31,36,86.1,10,36,46,25,10,8,20,18,6
ATL,ATL @ SAS,11/30/2023,W,240,137,49,96,51.0,14,33,42.4,25,29,86.2,8,29,37,24,14,2,10,25,2
SAS,SAS vs. ATL,11/30/2023,L,240,135,48,89,53.9,18,41,43.9,21,23,91.3,11,36,47,34,4,7,21,22,-2
UTA,UTA @ MIN,11/30/2023,L,240,90,33,87,37.9,11,34,32.4,13,14,92.9,13,38,51,22,6,4,21,19,-11
LAL,LAL @ OKC,11/30/2023,L,240,110,36,81,44.4,11,33,33.3,27,32,84.4,7,34,41,24,6,2,14,20,-23
OKC,OKC vs. LAL,11/30/2023,W,240,133,50,94,53.2,14,42,33.3,19,22,86.4,8,40,48,29,9,6,9,24,23
LAC,LAC @ GSW,11/30/2023,L,240,114,42,95,44.2,12,32,37.5,18,24,75.0,15,28,43,26,5,1,6,21,-6
GSW,GSW vs. LAC,11/30/2023,W,240,120,41,82,50.0,15,39,38.5,23,31,74.2,10,37,47,30,3,4,9,18,6
MIL,MIL @ CHI,11/30/2023,L,265,113,44,98,44.9,16,48,33.3,9,13,69.2,9,34,43,28,12,6,21,21,-7
CHI,CHI vs. MIL,11/30/2023,W,265,120,45,98,45.9,13,37,35.1,17,22,77.3,14,37,51,32,14,4,21,18,7
NYK,NYK vs. DET,11/30/2023,W,240,118,41,88,46.6,16,41,39.0,20,28,71.4,12,29,41,25,8,3,11,17,6
DET,DET @ NYK,11/30/2023,L,240,112,43,81,53.1,15,35,42.9,11,17,64.7,8,34,42,22,4,3,20,25,-6
POR,POR @ CLE,11/30/2023,W,240,103,39,77,50.6,14,35,40.0,11,11,100,9,31,40,29,10,4,23,17,8
